Region,Segment,Category,TotalOrders,OrderReturnPercentage,ProductsWithDiscount,TotalQuantity,TotalSales,TotalProfit,AverageTranscations
Central,Consumer,Technology,1,0.0000,9,9,431.92800000000005,64.78919982910156,431.92800000000005
Central,Consumer,"Office Supplies",2,0.0000,4,7,1101.6319999999998,-1847.226351261139,550.8159999999999
Central,Consumer,Furniture,3,0.0000,6,11,481.22799999999995,52.75019836425781,160.4093333333333
Central,Corporate,Furniture,3,0.0000,9,14,1927.152,217.66458892822266,642.384
Central,Corporate,"Office Supplies",8,0.0000,38,38,1821.7199999999998,-111.48330068588257,227.71499999999997
Central,Corporate,Technology,2,0.0000,3,4,382.56600000000003,41.83710101246834,191.28300000000002
Central,"Home Office",Furniture,4,0.0000,5,11,321.44399999999996,-56.54720211029053,80.36099999999999
Central,"Home Office","Office Supplies",8,0.0000,22,29,886.362,131.99339413642883,110.79525
Central,"Home Office",Technology,2,0.0000,3,5,776.596,199.32801055908203,388.298
East,Consumer,"Office Supplies",26,0.0000,31,94,2514.6800000000007,103.64229637384415,96.71846153846157
East,Consumer,Furniture,2,0.0000,12,12,1706.196,287.9172010421753,853.098
East,Consumer,Technology,3,0.0000,5,7,227.56199999999998,-47.63640010356903,75.854
East,Corporate,"Office Supplies",5,0.0000,3,12,59.83200000000001,21.759300112724304,11.966400000000002
East,Corporate,Furniture,1,0.0000,3,3,658.746,146.38800048828125,658.746
East,"Home Office","Office Supplies",3,0.0000,7,9,160.99599999999998,-89.63869833946228,53.66533333333333
East,"Home Office",Technology,1,0.0000,0,3,89.97,37.78739929199219,89.97
East,"Home Office",Furniture,2,0.0000,3,5,517.2860000000001,70.21979999542236,258.64300000000003
South,Consumer,"Office Supplies",6,0.0000,7,26,531.018,164.68369960784912,88.503
South,Consumer,Furniture,2,0.0000,0,8,415.04,97.70959854125977,207.52
South,Consumer,Technology,3,0.0000,4,12,324.688,141.11459827423096,108.22933333333333
South,Corporate,Furniture,1,0.0000,5,5,79.12,13.845999717712402,79.12
South,Corporate,"Office Supplies",5,0.0000,14,14,236.952,-19.607800722122192,47.3904
South,"Home Office","Office Supplies",5,0.0000,4,17,278.08600000000007,-105.95429867506027,55.61720000000001
South,"Home Office",Furniture,2,0.0000,8,12,178.54399999999998,38.26959943771362,89.27199999999999
South,"Home Office",Technology,4,0.0000,8,16,1890.256,423.4124131202698,472.564
West,Consumer,Technology,2,0.0000,5,9,75.08000000000001,22.118200302124023,37.540000000000006
West,Consumer,Furniture,9,22.2222,29,37,4141.968000000001,126.62060165405273,460.21866666666676
West,Consumer,"Office Supplies",30,13.3333,42,106,2124.228,467.0528991818428,70.80760000000001
West,Corporate,Technology,3,33.3333,3,11,10399.896,2775.9684829711914,3466.632
West,Corporate,Furniture,3,0.0000,9,11,163.416,28.262399673461914,54.472
West,Corporate,"Office Supplies",8,12.5000,27,36,447.976,151.87900352478027,55.997
West,"Home Office",Furniture,3,66.6667,17,17,2621.95,-658.2669763565063,873.9833333333332
West,"Home Office","Office Supplies",7,57.1429,17,20,483.96500000000003,32.413798809051514,69.13785714285714
